QB,RB,RB,WR,WR,WR,TE,FLEX,DST
15033400,15033489,15033493,15033825,15033827,15033847,15034363,15033501,15034615
15033400,15033489,15033495,15033825,15033827,15033847,15034363,15033501,15034615
15033400,15033487,15033489,15033873,15033825,15033827,15034363,15033847,15034599
15033400,15033487,15033495,15033851,15033825,15033847,15034363,15033501,15034606
15033400,15033487,15033495,15033873,15033825,15033847,15034363,15033501,15034599
15033400,15033487,15033501,15033803,15033839,15033847,15034313,15034363,15034615
15033400,15033487,15033499,15033825,15033839,15033847,15034363,15033501,15034606
15033400,15033487,15033501,15033873,15033803,15033811,15034363,15033847,15034615
15033400,15033493,15033495,15033861,15033873,15033847,15034311,15033501,15034615
15033400,15033489,15033493,15033861,15033825,15033847,15034363,15033501,15034599
15033400,15033483,15033495,15033873,15033897,15033847,15034363,15033501,15034615
15033400,15033493,15033501,15033873,15033803,15033827,15034363,15033847,15034599
15033400,15033487,15033495,15033873,15033827,15033847,15034325,15033501,15034615
15033400,15033487,15033495,15033873,15033897,15033803,15034363,15033501,15034599
15033400,15033487,15033495,15033827,15033839,15033847,15034363,15033501,15034615
15033400,15033487,15033501,15033873,15033803,15033827,15034363,15033847,15034606
15033400,15033493,15033501,15033873,15033803,15033847,15034363,15033505,15034599
15033400,15033487,15033495,15033861,15033873,15033811,15034363,15033501,15034599
15033400,15033487,15033501,15033873,15033803,15033825,15034363,15033847,15034615
15033400,15033487,15033489,15033861,15033811,15033847,15034363,15033501,15034615
15033400,15033487,15033495,15033873,15033825,15033847,15034325,15033501,15034615
15033400,15033487,15033501,15033873,15033811,15033825,15034363,15033847,15034599
15033400,15033487,15033501,15033861,15033873,15033803,15034363,15033825,15034599
15033400,15033487,15033499,15033873,15033803,15033847,15034347,15033501,15034615
15033400,15033487,15033501,15033861,15033803,15033827,15034363,15033847,15034608
15033400,15033487,15033495,15033873,15033825,15033847,15034363,15033499,15034599
15033400,15033487,15033489,15033897,15033803,15033847,15034363,15033501,15034615
15033400,15033487,15033495,15033861,15033873,15033803,15034363,15033501,15034608
15033400,15033487,15033495,15033861,15033827,15033847,15034363,15033501,15034599
15033400,15033489,15033495,15033873,15033803,15033847,15034363,15033501,15034613
15033400,15033487,15033501,15033873,15033803,15033825,15034363,15033827,15034615
15033400,15033487,15033501,15033873,15033803,15033827,15034363,15033847,15034608
15033400,15033489,15033493,15033873,15033825,15033847,15034363,15033501,15034599
15033400,15033489,15033495,15033861,15033825,15033847,15034363,15033501,15034599
15033400,15033495,15033501,15033873,15033803,15033847,15034363,15033505,15034599
15033400,15033487,15033493,15033873,15033825,15033847,15034363,15033501,15034599
15033400,15033489,15033495,15033827,15033839,15033847,15034363,15033501,15034606
15033400,15033487,15033493,15033873,15033825,15033847,15034325,15033501,15034615
15033400,15033495,15033501,15033873,15033803,15033811,15034363,15033847,15034606
15033400,15033493,15033495,15033873,15033803,15033847,15034363,15033501,15034608
15033400,15033483,15033501,15033861,15033873,15033827,15034363,15033847,15034615
15033400,15033487,15033493,15033861,15033839,15033847,15034363,15033501,15034599
15033400,15033487,15033495,15033873,15033803,15033847,15034363,15033501,15034615
15033400,15033487,15033493,15033825,15033839,15033847,15034363,15033501,15034613
15033400,15033495,15033501,15033873,15033803,15033827,15034363,15033847,15034599
15033400,15033487,15033495,15033873,15033825,15033847,15034325,15033501,15034613
15033400,15033487,15033493,15033873,15033811,15033847,15034363,15033501,15034606
15033400,15033487,15033493,15033873,15033811,15033827,15034363,15033501,15034615
15033400,15033487,15033499,15033861,15033873,15033847,15034313,15033501,15034615
15033400,15033489,15033501,15033873,15033803,15033839,15034363,15033847,15034599
15033400,15033487,15033489,15033873,15033897,15033847,15034313,15033501,15034615
15033400,15033487,15033493,15033851,15033873,15033803,15034363,15033501,15034615
15033400,15033489,15033495,15033873,15033825,15033839,15034363,15033501,15034599
15033400,15033487,15033499,15033861,15033803,15033847,15034363,15033501,15034615
15033400,15033487,15033495,15033873,15033825,15033827,15034363,15033501,15034608
15033400,15033487,15033495,15033873,15033825,15033827,15034363,15033501,15034606
15033400,15033495,15033501,15033873,15033803,15033825,15034363,15033827,15034606
15033400,15033487,15033493,15033873,15033825,15033827,15034363,15033501,15034606
15033400,15033487,15033493,15033873,15033825,15033827,15034363,15033501,15034608
15033400,15033493,15033501,15033803,15033825,15033839,15034363,15033847,15034615
15033400,15033487,15033495,15033873,15033839,15033847,15034363,15033501,15034599
15033400,15033487,15033495,15033861,15033873,15033803,15034363,15033501,15034606
15033400,15033487,15033501,15033851,15033803,15033827,15034363,15033847,15034615
15033400,15033489,15033495,15033861,15033803,15033847,15034363,15033501,15034615
15033400,15033489,15033495,15033825,15033827,15033847,15034363,15033501,15034613
15033400,15033483,15033501,15033861,15033873,15033847,15034363,15033505,15034615
15033400,15033495,15033501,15033803,15033825,15033847,15034313,15034363,15034615
15033400,15033487,15033489,15033873,15033825,15033827,15034363,15033501,15034615
15033400,15033487,15033493,15033861,15033873,15033811,15034363,15033501,15034599
15033400,15033487,15033493,15033873,15033839,15033847,15034363,15033495,15034599
15033400,15033489,15033495,15033873,15033825,15033847,15034363,15033501,15034599
15033400,15033493,15033495,15033873,15033811,15033847,15034363,15033501,15034599
15033400,15033487,15033499,15033825,15033827,15033847,15034363,15033501,15034615
15033400,15033489,15033493,15033873,15033825,15033839,15034363,15033501,15034599
15033400,15033487,15033495,15033873,15033827,15033839,15034363,15033501,15034599
15033400,15033487,15033495,15033873,15033827,15033847,15034363,15033501,15034599
15033400,15033487,15033495,15033873,15033839,15033847,15034325,15033501,15034606
15033400,15033493,15033495,15033873,15033825,15033827,15034363,15033501,15034599
15033400,15033487,15033499,15033873,15033803,15033847,15034363,15033501,15034615
15033400,15033487,15033489,15033861,15033873,15033803,15034363,15033501,15034615
15033400,15033487,15033495,15033897,15033825,15033827,15034363,15033501,15034599
15033400,15033487,15033489,15033873,15033835,15033847,15034363,15033501,15034599
15033400,15033487,15033493,15033873,15033897,15033803,15034363,15033501,15034599
15033400,15033487,15033501,15033873,15033803,15033847,15034363,15033505,15034606
15033400,15033487,15033501,15033873,15033803,15033825,15034363,15033847,15034606
15033400,15033487,15033495,15033825,15033839,15033847,15034363,15033501,15034615
15033400,15033489,15033495,15033873,15033803,15033847,15034363,15033501,15034615
15033400,15033487,15033501,15033873,15033811,15033827,15034363,15033839,15034599
15033400,15033495,15033501,15033873,15033803,15033825,15034325,15033847,15034615
15033400,15033495,15033501,15033873,15033825,15033839,15034313,15033847,15034615
15033400,15033489,15033499,15033873,15033803,15033847,15034363,15033501,15034606
15033400,15033487,15033495,15033873,15033811,15033847,15034363,15033501,15034606
15033400,15033487,15033489,15033873,15033825,15033847,15034363,15033501,15034606
15033400,15033487,15033501,15033873,15033811,15033827,15034363,15033847,15034599
15033400,15033487,15033493,15033825,15033839,15033847,15034363,15033501,15034615
15033400,15033487,15033495,15033851,15033873,15033803,15034363,15033501,15034615
15033400,15033487,15033489,15033861,15033839,15033847,15034363,15033501,15034599
15033400,15033487,15033493,15033873,15033827,15033847,15034325,15033501,15034615
15033400,15033495,15033501,15033873,15033803,15033811,15034363,15033827,15034615
15033400,15033487,15033495,15033873,15033811,15033827,15034363,15033501,15034615
15033400,15033483,15033487,15033861,15033873,15033897,15034363,15033501,15034615
15033400,15033489,15033501,15033825,15033827,15033839,15034363,15033847,15034599
15033400,15033487,15033489,15033873,15033825,15033847,15034347,15033501,15034606
15033407,15033487,15033495,15033873,15033803,15033825,15034363,15033501,15034615
15033400,15033487,15033501,15033861,15033873,15033803,15034363,15033827,15034599
15033400,15033487,15033495,15033873,15033811,15033825,15034363,15033501,15034615
15033400,15033487,15033489,15033873,15033825,15033839,15034363,15033501,15034606
15033400,15033495,15033501,15033873,15033803,15033825,15034363,15033847,15034599
15033400,15033489,15033493,15033873,15033803,15033847,15034363,15033501,15034613
15033400,15033487,15033501,15033897,15033803,15033827,15034363,15033847,15034599
15033400,15033487,15033493,15033873,15033827,15033847,15034363,15033501,15034599
15033400,15033487,15033501,15033825,15033839,15033847,15034311,15034363,15034599
15033400,15033487,15033489,15033873,15033811,15033847,15034363,15033501,15034615
15033400,15033487,15033493,15033827,15033839,15033847,15034363,15033501,15034615
15033400,15033495,15033501,15033873,15033827,15033839,15034311,15033847,15034615
15033400,15033489,15033495,15033873,15033803,15033839,15034363,15033501,15034615
15033400,15033487,15033501,15033873,15033803,15033825,15034363,15033847,15034608
15033400,15033487,15033493,15033873,15033839,15033847,15034363,15033501,15034599
15033400,15033487,15033501,15033825,15033839,15033847,15034313,15034363,15034599
15033400,15033487,15033501,15033861,15033873,15033825,15034311,15033847,15034615
15033400,15033487,15033489,15033861,15033825,15033827,15034363,15033501,15034615
15033400,15033489,15033493,15033873,15033803,15033847,15034363,15033501,15034615
15033400,15033487,15033495,15033825,15033835,15033847,15034363,15033501,15034615
15033400,15033487,15033495,15033873,15033803,15033825,15034363,15033847,15034615
15033400,15033487,15033501,15033861,15033811,15033827,15034363,15033847,15034599
15033400,15033487,15033501,15033873,15033825,15033839,15034325,15033847,15034599
15033400,15033487,15033489,15033873,15033839,15033847,15034363,15033501,15034599
15033400,15033495,15033499,15033825,15033839,15033847,15034363,15033501,15034599
15033400,15033487,15033493,15033825,15033835,15033847,15034363,15033501,15034615
15033400,15033495,15033501,15033803,15033825,15033839,15034363,15033847,15034615
15033400,15033487,15033493,15033861,15033873,15033803,15034363,15033501,15034608
15033400,15033487,15033495,15033825,15033839,15033847,15034363,15033501,15034613
15033400,15033495,15033501,15033803,15033825,15033847,15034311,15034363,15034615
15033400,15033487,15033501,15033873,15033803,15033825,15034363,15033505,15034615
15033400,15033487,15033499,15033873,15033803,15033839,15034363,15033501,15034615
15033400,15033487,15033501,15033861,15033803,15033825,15034363,15033847,15034615
15033400,15033487,15033489,15033827,15033839,15033847,15034363,15033501,15034615
15033400,15033493,15033495,15033873,15033803,15033847,15034363,15033501,15034615
15033400,15033487,15033495,15033861,15033827,15033847,15034325,15033501,15034615
15033400,15033487,15033499,15033825,15033827,15033839,15034363,15033501,15034615
15033397,15033487,15033495,15033873,15033839,15033847,15034363,15033501,15034615
15033400,15033489,15033495,15033873,15033825,15033847,15034347,15033501,15034599
15033397,15033487,15033493,15033873,15033839,15033847,15034363,15033501,15034615
15033400,15033487,15033495,15033897,15033803,15033847,15034363,15033501,15034608
15033400,15033493,15033501,15033803,15033825,15033847,15034313,15034363,15034615
15033400,15033487,15033501,15033873,15033803,15033827,15034363,15033839,15034608
15033400,15033487,15033493,15033873,15033803,15033825,15034363,15033847,15034615
15033400,15033487,15033495,15033897,15033811,15033847,15034363,15033501,15034599
15033400,15033489,15033501,15033873,15033803,15033847,15034311,15034363,15034599
15033400,15033487,15033489,15033861,15033825,15033847,15034363,15033501,15034606
